id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
13008,"Desterro, Abreu e Lima",Nordeste,Pernambuco,Abreu e Lima,DESTERRO,,,-7.8910661000,-34.9076516000,"09/04/2018, 21:00:00",false,true,,Homicidio/Tentativa,,,false,78a57f72-174c-4d7a-98be-c50d0472e641,People,dead,,"09/04/2018, 21:00:00",Agent,48,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,fora de serviço,
13046,"Av. João Cabral de Melo Neto - Estância, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,ESTANCIA,,,-8.0782889000,-34.9316931000,"09/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,ff9c942b-bc6d-4a6b-92a5-56cc87744f4d,People,dead,,"09/04/2018, 21:00:00",Civilian,40,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13048,"R. Cinco - Pte. dos Carvalhos, Cabo de Santo Agostinho - PE, 54580-478, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,PONTE DOS CARVALHOS - ENGENHO ILHA,,LOTEAMENTO NOVA ERA,-8.2438087000,-34.9861894000,"10/04/2018, 18:00:00",false,false,,Homicidio/Tentativa,,,false,e45ee82e-0ff5-4b07-9002-3fbd21d18156,People,dead,,"10/04/2018, 18:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13080,"Prazeres, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,PRAZERES,,,-8.1733608000,-34.9423933000,"10/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,e8c756ec-841d-4e28-91d5-e06c922aa030,People,dead,,"10/04/2018, 21:00:00",Civilian,39,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13082,"R. Terra Boa - Coelhos, Recife - PE, 52171-011, Brasil",Nordeste,Pernambuco,Recife,COELHOS,,CONJUNTO HABITACIONAL DOS COELHOS,-8.0678348000,-34.8881080000,"10/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,7bfca915-3ad0-41bb-8a27-be3acd7491e4,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13116,"R. Amaro Albino Pímentel - Centro, Camaragibe - PE, Brasil",Nordeste,Pernambuco,Camaragibe,ALTO SANTO ANTONIO,CENTRO,,-8.0256756000,-34.9859629000,"11/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,77286177-41c9-41e6-a1a4-cd07620f55d8,People,dead,,"11/04/2018, 21:00:00",Civilian,24,adulto,homem cis,Não identificado,residência,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13159,"BR-101, Igarassu - PE, 53600-000, Brasil",Nordeste,Pernambuco,Igarassu,CRUZ DE REBOUCAS,,,-7.8729237000,-34.9060927000,"12/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,64cc87dd-1270-4956-a496-add116197d2e,People,wounded,,"31/12/1899, 20:53:32",Civilian,42,adulto,homem cis,Não identificado,sem identificação,não identificado,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13123,"Enseada dos Corais, Cabo de Santo Agostinho - PE, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,ENSEADA DOS CORAIS,,,-8.3162091000,-34.9480784000,"12/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,c2a4cf95-dac3-4c7a-910d-fd044c3810fb,People,dead,,"12/04/2018, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13157,"R. Cinqüenta e Três, Cabo de Santo Agostinho - PE, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,COHAB,,,-8.2931676000,-35.0300447000,"12/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,cb953805-8e88-4fe1-a324-72639f3f4ba0,People,dead,,"12/04/2018, 21:00:00",Civilian,25,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13158,"Dois Unidos, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,DOIS UNIDOS,,,-8.0014722000,-34.9140585000,"12/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,28758304-c985-441e-b6c3-e38ff4171418,People,dead,,"12/04/2018, 21:00:00",Civilian,46,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13156,"Sucupira, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,SUCUPIRA,,,-8.1066977000,-34.9740873000,"13/04/2018, 15:30:00",false,false,,Homicidio/Tentativa,,,false,141167fb-1876-4bb7-94b6-22764c849778,People,dead,,"13/04/2018, 15:30:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13241,"Santo Aleixo, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,SANTO ALEIXO,,,-8.0964856000,-35.0195406000,"14/04/2018, 13:00:00",false,false,,Homicidio/Tentativa,,,false,64d92033-dc5f-47dd-9cb3-04b38a33c489,People,dead,,"14/04/2018, 13:00:00",Civilian,21,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13185,"R. da Estação - Pontezinha, Cabo de Santo Agostinho - PE, Brasil",Nordeste,Pernambuco,Cabo de Santo Agostinho,PONTEZINHA,,,-8.2234929000,-34.9653299000,"14/04/2018, 13:00:00",false,false,,Homicidio/Tentativa,,,false,d88584e1-816b-4c52-95b5-50bb171fcad8,People,dead,,"14/04/2018, 13:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13214,"Tv. do Açude - Santo Aleixo, Jaboatão dos Guararapes - PE, 54140, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,SANTO ALEIXO,,,-8.1042849000,-35.0122400000,"14/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,5e05ab4b-f544-4cc4-8aee-a5b3c30c709c,People,wounded,,"31/12/1899, 20:53:32",Civilian,52,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
